name                , value                          , unit   , datatype, dimensions, description, source                             ,
LimCurrent1         , 12                             ,        ,         ,           ,            , Simulink Export                    ,
LimCurrent2         , 10                             ,        ,         ,           ,            , Simulink Export                    ,
LVDCBusNomVoltage   , 700                            , V      ,         ,           ,            , Simulink Export
LVDCBusMinVoltage   , 450                            , V      ,         ,           ,            , guessed
SpecLineResistance  , 0.01                           , ?      ,         ,           ,            , Simulink Export                    ,
GeneratorTimeConst  , 30                             , s      ,         ,           ,            , Simulink Export                    ,
ConverterTimeConst  , 0.1                            , s      ,         ,           ,            , Simulink Export                    ,
CombEngRatedSpeed   , 1500                           , rpm    ,         ,           ,            , Simulink Export                    ,
CombEngInertia      , 5000                           , kg*m^2 ,         ,           ,            , Simulink Export                    ,
CombEngSpeedCtrlKp  , 50000                          , W/rpm  ,         ,           ,            , Simulink Export                    ,
CombEngSpeedCtrlKi  , 20000                          , W/rpm/s,         ,           ,            , Simulink Export                    ,
CombEngMaxPower     , 15120000                       , W      ,         ,           ,            , Simulink Export                    ,
LineLen             , 1                              , m      ,         ,           ,            , Simulink Export                    ,
BatterySocVec       , [0 0.2 0.4 0.6 0.8 1]          ,        ,         , [2]       ,            , doi: 10.1109/VPPC46532.2019.8952209,
BatteryVoltageVec   , [636 648 657 659 666 670]      , V      ,         , [2]       ,            , doi: 10.1109/VPPC46532.2019.8952209,
BatteryResistanceVec, [3.10 2.96 2.88 2.84 2.80 2.82], Ohm    ,         , [2]       ,            , doi: 10.1109/VPPC46532.2019.8952209,
BatteryAmpereHour   , 46.07                          , hr*A   ,         ,           ,            , doi: 10.1109/VPPC46532.2019.8952209,
BatteryInitialSocPS , [0.935 0.935 0.935]               ,        ,         , [2]       ,            ,                                    ,
BatteryInitialSocSB , [0.935 0.935 0.935]               ,        ,         , [2]       ,            ,                                    ,